1000709,5
1003909,5
1003955,5
1007321,4
1026358,5
1027628,5
1032691,5
1036163,4
1038071,5
1043667,5
1046226,4
1049197,5
1049394,4
1056642,5
1062477,5
1064688,5
1069016,5
1071940,5
1072484,5
1072485,5
1072517,5
1072903,5
1072905,5
1073389,5
1079030,4
1086649,4
1091801,4
1093782,3
1104374,5
1107532,5
1108602,5
1112115,5
1113758,4
1136517,4
1136519,4
1138567,4
1138652,4
1144203,5
1152044,5
1163008,4
1198441,5
1204047,5
1207547,4
1213000,5
1232246,4
1235754,4
1243059,5
1244515,5
1245492,5
1262578,5
1266938,4
1303707,5
1310950,5
1311712,5
1321434,5
1321565,4
1326540,5
1328035,5
1329296,5
1331294,5
1334501,5
1335112,3
1337263,5
1356086,4
1362078,4
1367793,4
1374584,5
1378661,5
1381406,4
1388493,5
1390975,4
1394384,4
1395858,5
1396064,5
1401966,4
1402255,5
1413183,4
1414354,4
1415632,4
1416754,3
1428294,5
1439116,5
1463006,4
1486063,3
1498533,4
1516538,5
1518824,4
1527801,5
1532693,3
1533505,5
1547470,5
1566126,3
1604356,5
1613339,5
1615682,5
1620075,5
1622544,5
1628287,4
1642518,5
1643687,5
1644809,5
1650086,4
1701719,5
1712270,4
1714684,4
1736580,5
1737889,4
1746619,5
1787059,5
1808552,4
1827471,5
1895164,5
1897405,5
1899940,5
1911868,5
1922205,5
1925491,5
1970952,5
1992363,5
2013689,5
2017201,5
2020388,4
2028668,4
2045776,5
2086466,5
2124634,5
2130521,5
2131762,5
2162363,5
2170963,4
2184907,4
2197545,5
2215763,5
2244457,5
2252675,5
2256817,5
2263631,5
2275201,5
2286959,5
2292031,4
2321309,5
2337560,5
2355502,5
2358981,4
2403546,5
2404598,4
2409929,4
2478940,5
2479430,4
2508723,5
2508997,5
2518346,5
2526993,5
2535195,5
2612378,5
2662515,5
2726131,5
2734725,5
2755110,5
2755263,5
2781737,4
2799381,4
2804487,5
2812366,4
2816515,5
2816657,5
2827290,4
2889086,5
2895907,5
2911795,4
2919874,5
2936540,5
2941900,5
2948893,4
2949167,4
2950071,4
2956376,4
2959193,4
2960240,4
2962978,4
2964710,4
2964720,4
2969641,4
2971356,4
2971554,4
2973552,4
2975240,4
2979253,4
2986106,4
2990800,4
2991527,4
2995656,4
3004782,4
3012166,4
3021823,4
3022159,5
3026950,5
3029011,5
3035363,5
3040066,5
3042591,4
3043380,4
3045342,4
3050408,5
3077428,3
3112517,4
3113131,4
3114743,4
3115093,5
3119437,5
3119820,5
3120240,4
3123071,4
3139475,4
3142161,4
3143528,4
3145151,4
3155215,5
3164863,4
3171884,5
3185372,5
3201724,4
3221457,4
3228979,4
3233711,4
3235695,5
3238898,4
3239678,4
3275679,5
3278174,4
3282881,4
3285096,5
3285450,4
3288071,4
3290996,4
3294106,5
3295612,4
3297390,5
3310474,4
3319709,5
3319987,5
3322846,4
3326677,4
3336524,4
3347909,5
3348215,5
3352042,4
3373644,4
3382362,4
3396638,4
3425580,4
3433208,4
3443056,4
3451379,5
3453340,4
3454088,5
3472161,4
3491159,5
3492340,5
3508074,4
3517160,5
3519092,4
3523413,4
3536441,4
3540117,4
3546387,4
3548231,4
3548350,4
3549073,4
3557625,5
3562140,4
3566409,4
3570991,4
3591304,4
3609557,5
3637361,5
3650053,5
3655705,5
3657298,4
3659927,4
3660600,5
3683900,4
3708794,5
3780553,4
3802113,4
3815575,5
3829941,4
3895900,5
3977394,5
4105670,4
4151908,5
4337365,4
4457949,4
4460280,4
